fpr,tpr
0.000000000000000000e+00,6.187050359712230607e-01
0.000000000000000000e+00,6.211031175059952281e-01
0.000000000000000000e+00,6.223021582733813117e-01
0.000000000000000000e+00,6.235011990407673954e-01
0.000000000000000000e+00,6.252997601918465209e-01
0.000000000000000000e+00,6.264988009592326046e-01
0.000000000000000000e+00,6.276978417266186883e-01
0.000000000000000000e+00,6.300959232613908556e-01
0.000000000000000000e+00,6.420863309352518034e-01
0.000000000000000000e+00,6.432853717026378870e-01
0.000000000000000000e+00,6.462829736211030962e-01
0.000000000000000000e+00,6.480815347721822217e-01
0.000000000000000000e+00,6.504796163069543891e-01
0.000000000000000000e+00,6.522781774580336256e-01
0.000000000000000000e+00,6.534772182254197093e-01
0.000000000000000000e+00,6.558752997601918766e-01
0.000000000000000000e+00,6.570743405275779603e-01
0.000000000000000000e+00,6.576738609112710021e-01
0.000000000000000000e+00,6.588729016786570858e-01
0.000000000000000000e+00,6.594724220623501276e-01
0.000000000000000000e+00,6.612709832134292531e-01
0.000000000000000000e+00,6.636690647482014205e-01
0.000000000000000000e+00,6.660671462829735878e-01
0.000000000000000000e+00,6.678657074340527133e-01
0.000000000000000000e+00,6.690647482014387970e-01
0.000000000000000000e+00,6.762589928057554101e-01
0.000000000000000000e+00,6.774580335731414937e-01
0.000000000000000000e+00,6.810551558752997447e-01
0.000000000000000000e+00,6.858513189448440794e-01
0.000000000000000000e+00,6.888489208633093996e-01
0.000000000000000000e+00,6.912470023980815670e-01
0.000000000000000000e+00,6.948441247002398180e-01
0.000000000000000000e+00,6.960431654676259017e-01
0.000000000000000000e+00,7.014388489208632782e-01
0.000000000000000000e+00,7.026378896882493619e-01
0.000000000000000000e+00,7.128297362110311841e-01
0.000000000000000000e+00,7.146282973621103096e-01
0.000000000000000000e+00,7.272182254196642992e-01
0.000000000000000000e+00,7.284172661870503829e-01
0.000000000000000000e+00,7.290167865707434247e-01
0.000000000000000000e+00,7.302158273381295084e-01
0.000000000000000000e+00,7.326139088729016757e-01
0.000000000000000000e+00,7.338129496402877594e-01
0.000000000000000000e+00,7.523980815347721673e-01
0.000000000000000000e+00,7.535971223021582510e-01
0.000000000000000000e+00,7.679856115107913661e-01
